date, store_ID, provider_ID, product_ID, quantity_sold, unit_price, revenue
2024-05-03,1,103,A003,30,8.25,247.50
2024-05-03,2,101,A001,10,5.99,59.90
2024-05-03,3,102,A002,18,3.50,63.00
2024-05-03,4,103,A003,20,8.25,165.00
2024-05-03,5,101,A001,22,5.99,131.78
2024-05-03,6,102,A002,12,3.50,42.00
2024-05-03,7,103,A003,25,8.25,206.25
2024-05-03,8,101,A001,8,5.99,47.92
2024-05-03,9,102,A002,10,3.50,35.00
2024-05-03,10,103,A003,30,8.25,247.50
2024-05-03,1,101,A001,14,5.99,83.86
2024-05-03,2,102,A002,16,3.50,56.00
2024-05-03,3,103,A003,18,8.25,148.50
2024-05-03,4,101,A001,12,5.99,71.88
2024-05-03,5,102,A002,25,3.50,87.50
2024-05-03,6,103,A003,22,8.25,181.50
2024-05-03,7,101,A001,20,5.99,119.80
2024-05-03,8,102,A002,15,3.50,52.50
2024-05-03,9,103,A003,30,8.25,247.50
2024-05-03,10,101,A001,10,5.99,59.90
2024-05-03,1,102,A002,18,3.50,63.00
2024-05-03,2,103,A003,20,8.25,165.00
2024-05-03,3,101,A001,22,5.99,131.78
2024-05-03,4,102,A002,12,3.50,42.00
2024-05-03,5,103,A003,25,8.25,206.25
2024-05-03,6,101,A001,8,5.99,47.92
2024-05-03,7,102,A002,10,3.50,35.00
2024-05-03,8,103,A003,30,8.25,247.50
2024-05-03,9,101,A001,14,5.99,83.86
2024-05-03,10,102,A002,16,3.50,56.00
2024-05-03,1,103,A003,18,8.25,148.50
2024-05-03,2,101,A001,12,5.99,71.88
2024-05-03,3,102,A002,25,3.50,87.50
2024-05-03,4,103,A003,22,8.25,181.50
2024-05-03,5,101,A001,20,5.99,119.80
2024-05-03,6,102,A002,15,3.50,52.50
2024-05-03,7,103,A003,30,8.25,247.50
2024-05-03,8,101,A001,14,5.99,83.86
2024-05-03,9,102,A002,20,3.50,70.00
2024-05-03,10,103,A003,18,8.25,148.50
